Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance OG,Performance Recov,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Expected xA,Expected A-xAG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,KP,1/3,PPA,CrsPA,PrgP
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,0,0,0,13.7,0,1,1,0,0,0,1,0,0,12,26,2,13,8,0,75,0.0,0.0,0.8,0.9,0.9,0.2,0.02,0.0,0.0,22,43,26,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,0,2,0,0.0,0.15,0.0,0.0,0.0,23.9,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,5,11,31.3,450,581,77.5,7402,2789,7,25,13,2,43
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,24,2000,0,0,0,14.1,2,2,4,2,0,0,3,1,1,15,25,5,22,2,0,88,2.0,2.0,1.9,3.8,2.0,0.1,0.11,0.0,0.0,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0,2,18,7,38.9,1.28,0.5,0.11,0.29,18.4,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,13,16,44.8,365,472,77.3,4890,1506,22,30,14,3,56
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,21,2003,0,0,0,1.1,0,1,1,0,0,0,0,0,0,6,4,0,0,0,0,5,0.1,0.1,0.1,0.2,0.1,0.9,0.06,-0.1,-0.1,2,5,7,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,0,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,3,0,100.0,41,50,82.0,576,71,1,4,2,0,5
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,1,1,100.0,8,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,37,1987,0,0,0,30.9,4,0,4,3,1,1,5,0,0,26,12,0,3,39,1,149,3.4,2.6,0.3,2.9,0.6,-0.3,0.13,0.6,0.4,36,137,9,0.13,0.0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,61,37,62.2,1552,1836,84.5,29618,9672,8,129,3,0,137
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,24,2000,0,0,0,16.9,0,0,0,0,0,0,2,0,0,34,16,0,3,12,0,89,0.8,0.8,0.5,1.3,1.1,-0.5,0.17,-0.8,-0.8,9,78,20,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,0,5,0,0.0,0.3,0.0,0.0,0.0,21.6,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,27,1.6,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,2,7,22.2,796,895,88.9,12470,3008,6,87,5,2,78
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,22,2002,0,0,0,2.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,6,40.0,60,79,75.9,1159,426,0,4,0,0,7
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31,1993,0,0,0,31.8,2,1,3,2,0,0,4,0,0,36,36,1,34,61,0,226,1.1,1.1,2.2,3.3,1.9,-1.2,0.04,0.9,0.9,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,15,14,51.7,1551,1836,84.5,27382,8613,30,188,23,3,194
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,0,0,0,11.6,5,0,5,5,0,0,1,0,0,10,13,6,7,3,0,39,3.8,3.8,2.0,5.8,0.9,-2.0,0.09,1.2,1.2,28,20,87,0.43,0.0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,15,27,35.7,162,231,70.1,2410,448,17,6,7,2,20
10,Abner,br BRA,DF,Betis,es La Liga,24,2000,0,0,0,15.6,0,1,1,0,0,0,3,0,0,16,2,2,26,15,0,79,0.1,0.1,1.0,1.1,1.0,0.0,0.03,-0.1,-0.1,14,33,58,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,0,4,0,0.0,0.26,0.0,0.0,0.0,15.4,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,14,0.9,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,14,10,58.3,615,797,77.2,9211,4552,8,20,7,2,33
